city_id,feature0,feature1,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,features,img_url,location,name,url
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"Đi xe ngắm cảnh, Tour thăm quan thành phố, Danh lam & Thắng cảnh, Chuyến tham quan, Hoạt động ngoài trời",,"số 94, Nguyễn Khánh Toàn Hà Nội 10000, Việt Nam",Chu du Việt Nam JSC.,https://www.tripadvisor.com.vn//Attraction_Review-g293924-d9996806-Reviews-Chu_du_Viet_Nam_JSC-Hanoi.html
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Điểm thu hút khách tham quan & thắng cảnh, Tour thăm quan thành phố, Chuyến tham quan, Danh lam & Thắng cảnh",,"125D Minh Khai, Hai Bà Trưng Hà Nội 100000, Việt Nam",Công ty TNHH thương mại phát triển và dịch vụ du lịch Nhà Việt - Tour 1 ngày,https://www.tripadvisor.com.vn//Attraction_Review-g293924-d9718651-Reviews-Viethome_Tourist_Day_Tours-Hanoi.html
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,"Di tích cổ, Khu vực đi dạo tham quan di tích lịch sử, Danh lam & Thắng cảnh",,"41 Hàng Bông, Q. Hoàn Kiếm Hà Nội 10000, Việt Nam",Vietnam Country Tour - Day Tours,https://www.tripadvisor.com.vn//Attraction_Review-g293924-d9718739-Reviews-Vietnam_Country_Tour_Day_Tours-Hanoi.html
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Điểm thu hút khách tham quan & thắng cảnh, Danh lam & Thắng cảnh, Spa & Sức khỏe",,"Lot 157 TT3 My Dinh urban area Hà Nội 100000, Việt Nam",Yeonspa,https://www.tripadvisor.com.vn//Attraction_Review-g293924-d13978797-Reviews-Yeonspa-Hanoi.html
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"Đài kỷ niệm & tượng, Danh lam & Thắng cảnh",,"Hà Nội, Việt Nam",John Sidney McCain Memorial,https://www.tripadvisor.com.vn//Attraction_Review-g293924-d12971195-Reviews-John_Sidney_McCain_Memorial-Hanoi.html
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Điểm thu hút khách tham quan & thắng cảnh, Danh lam & Thắng cảnh",,"386 Lạc Long Quân Hà Nội 100000, Việt Nam",Chùa Tảo Sách,https://www.tripadvisor.com.vn//Attraction_Review-g293924-d14027989-Reviews-Tao_Sach_Pagoda-Hanoi.html
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Địa điểm linh thiêng & tôn giáo, Danh lam & Thắng cảnh",,"Làng La Khê Hà Nội, Việt Nam",Đình Bia Bà,https://www.tripadvisor.com.vn//Attraction_Review-g293924-d11893964-Reviews-Bia_Ba_Temple-Hanoi.html
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"Đi xe ngắm cảnh, Đường đi xe đạp, Hoạt động ngoài trời, Thiên nhiên & Công viên, Danh lam & Thắng cảnh",,"35 Hàng Buồm, Hoàn Kiếm Hà Nội, Việt Nam",Piston Heads Hanoi,https://www.tripadvisor.com.vn//Attraction_Review-g293924-d10844936-Reviews-Piston_Heads_Hanoi-Hanoi.html
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Điểm thu hút khách tham quan & thắng cảnh, Danh lam & Thắng cảnh",,"A4703, Keangnam Hanoi Landmark Tower a E6, Pham Hung Rd Hà Nội 10000, Việt Nam",CUC Gallery,https://www.tripadvisor.com.vn//Attraction_Review-g293924-d4831699-Reviews-CUC_Gallery-Hanoi.html
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Địa điểm linh thiêng & tôn giáo, Danh lam & Thắng cảnh",,"56 Phan Đình Phùng Hà Nội, Việt Nam",Cua Bac Church,https://www.tripadvisor.com.vn//Attraction_Review-g293924-d12855730-Reviews-Cua_Bac_Church-Hanoi.html
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Địa điểm linh thiêng & tôn giáo, Danh lam & Thắng cảnh",,"So 54 Hang Khoai, Đong Xuan, Hoan Kiem Hà Nội, Việt Nam",Chùa quán Huyền Thiên,https://www.tripadvisor.com.vn//Attraction_Review-g293924-d12110604-Reviews-Chua_quan_Huyen_Thien-Hanoi.html
0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Tòa nhà kiến trúc, Tòa nhà chính phủ, Danh lam & Thắng cảnh",,"Hà Nội, Việt Nam",Tòa Nhà Quốc Hội Việt Nam,https://www.tripadvisor.com.vn//Attraction_Review-g293924-d11950322-Reviews-Vietnamese_National_Assembly-Hanoi.html
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Địa điểm linh thiêng & tôn giáo, Danh lam & Thắng cảnh",,"59 Đinh Tiên Hoàng Hà Nội, Việt Nam",Đền Bà Kiệu,https://www.tripadvisor.com.vn//Attraction_Review-g293924-d12881611-Reviews-Ba_Kieu_Temple-Hanoi.html
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"Nhà thờ & nhà thờ lớn, Danh lam & Thắng cảnh",,"2 Ngõ Trạm, Hàng Bông, Hoàn Kiếm Hà Nội, Việt Nam",Hội Thánh Tin Lành Hà Nội,https://www.tripadvisor.com.vn//Attraction_Review-g293924-d12110292-Reviews-Hanoi_Evangelical_Church-Hanoi.html
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"Đấu trường & sân vận động, Danh lam & Thắng cảnh",,"Lê Đức Thọ Hà Nội, Việt Nam",My Dinh National Stadium,https://www.tripadvisor.com.vn//Attraction_Review-g293924-d13312162-Reviews-My_Dinh_National_Stadium-Hanoi.html
